Game_pk,date,Park
717813,6/10/2023,Tropicana Field
717799,6/11/2023,Angel Stadium
717804,6/11/2023,Comerica Park
717800,6/11/2023,American Family Field
717805,6/11/2023,Rogers Centre
717795,6/11/2023,Guaranteed Rate Field
717796,6/11/2023,Oracle Park
717803,6/11/2023,PNC Park
717808,6/11/2023,Oriole Park at Camden Yards
717801,6/11/2023,Tropicana Field
717810,6/11/2023,Yankee Stadium
717797,6/11/2023,Busch Stadium
717802,6/11/2023,Progressive Field
717798,6/11/2023,Coors Field
717806,6/11/2023,Citizens Bank Park
717807,6/11/2023,Truist Park
717789,6/12/2023,Oakland Coliseum
717790,6/12/2023,Comerica Park
717785,6/12/2023,Chase Field
717793,6/12/2023,Kauffman Stadium
717791,6/12/2023,Busch Stadium
717786,6/12/2023,T-Mobile Park
717792,6/12/2023,Globe Life Field
717794,6/12/2023,Fenway Park
717775,6/13/2023,Chase Field
717782,6/13/2023,Wrigley Field
717774,6/13/2023,Oakland Coliseum
717777,6/13/2023,Kauffman Stadium
717784,6/13/2023,Comerica Park
717781,6/13/2023,Busch Stadium
717787,6/13/2023,Oriole Park at Camden Yards
717780,6/13/2023,Globe Life Field
717783,6/13/2023,Target Field
717779,6/13/2023,Citi Field
717788,6/13/2023,Fenway Park
717776,6/13/2023,Dodger Stadium
717772,6/13/2023,Petco Park
717773,6/13/2023,T-Mobile Park
717778,6/13/2023,Minute Maid Park
717784,6/14/2023,Comerica Park
717771,6/14/2023,Target Field
717766,6/14/2023,Citi Field
717768,6/14/2023,Fenway Park
717763,6/14/2023,Wrigley Field
717760,6/14/2023,Dodger Stadium
717761,6/14/2023,Oakland Coliseum
717767,6/14/2023,Busch Stadium
717759,6/14/2023,T-Mobile Park
717758,6/14/2023,Petco Park
717762,6/14/2023,Minute Maid Park
717769,6/14/2023,Oriole Park at Camden Yards
717757,6/14/2023,Chase Field
717765,6/14/2023,Globe Life Field
717770,6/14/2023,Comerica Park
717764,6/14/2023,Kauffman Stadium
717751,6/15/2023,Globe Life Field
717753,6/15/2023,Oriole Park at Camden Yards
717754,6/15/2023,Truist Park
717752,6/15/2023,Target Field
717747,6/15/2023,Wrigley Field
717746,6/15/2023,Minute Maid Park
717756,6/15/2023,Oakland Coliseum
717750,6/15/2023,Petco Park
717755,6/15/2023,Chase Field
717748,6/15/2023,Dodger Stadium
717733,6/16/2023,T-Mobile Park
717738,6/16/2023,Target Field
717737,6/16/2023,Minute Maid Park
717735,6/16/2023,Oakland Coliseum
717749,6/16/2023,Nationals Park
717741,6/16/2023,Globe Life Field
717731,6/16/2023,Dodger Stadium
717732,6/16/2023,Petco Park
717743,6/16/2023,Citi Field
717745,6/16/2023,Truist Park
717744,6/16/2023,Wrigley Field
717736,6/16/2023,Kauffman Stadium
717740,6/16/2023,American Family Field
717742,6/16/2023,Fenway Park
717739,6/16/2023,Chase Field
717717,6/17/2023,Petco Park
717725,6/17/2023,Oakland Coliseum
717730,6/17/2023,Fenway Park
717729,6/17/2023,Wrigley Field
717719,6/17/2023,Chase Field
717728,6/17/2023,Target Field
717726,6/17/2023,Kauffman Stadium
717721,6/17/2023,Dodger Stadium
717720,6/17/2023,American Family Field
717723,6/17/2023,Globe Life Field
717727,6/17/2023,Minute Maid Park
717724,6/17/2023,Truist Park
717718,6/17/2023,Citi Field
717734,6/17/2023,Nationals Park
717722,6/17/2023,T-Mobile Park
717712,6/18/2023,Kauffman Stadium
717702,6/18/2023,Dodger Stadium
717705,6/18/2023,Oakland Coliseum
717715,6/18/2023,Fenway Park
717706,6/18/2023,Chase Field
717707,6/18/2023,Minute Maid Park
717730,6/18/2023,Fenway Park
717704,6/18/2023,T-Mobile Park
717716,6/18/2023,Truist Park
717703,6/18/2023,Petco Park
717710,6/18/2023,American Family Field
717709,6/18/2023,Globe Life Field
717708,6/18/2023,Wrigley Field
717714,6/18/2023,Nationals Park
717713,6/18/2023,Citi Field
717711,6/18/2023,Target Field
717695,6/19/2023,Guaranteed Rate Field
717693,6/19/2023,Target Field
717692,6/19/2023,Comerica Park
717697,6/19/2023,Oracle Park
717696,6/19/2023,American Family Field
717698,6/19/2023,PNC Park
717694,6/19/2023,Minute Maid Park
717701,6/19/2023,Great American Ball Park
717699,6/19/2023,Nationals Park
717700,6/19/2023,loanDepot park
717681,6/20/2023,Comerica Park
717679,6/20/2023,Progressive Field
717690,6/20/2023,loanDepot park
717688,6/20/2023,Oracle Park
717682,6/20/2023,Minute Maid Park
717684,6/20/2023,Yankee Stadium
717683,6/20/2023,Target Field
717689,6/20/2023,Citizens Bank Park
717685,6/20/2023,Great American Ball Park
717686,6/20/2023,PNC Park
